timestamp,open,high,low,close,volume
2024-12-20 03:05:00,4.11550000,4.13600000,4.11430000,4.12200000,255099.10000000
2024-12-20 03:10:00,4.12200000,4.12800000,4.10790000,4.11910000,181564.00000000
2024-12-20 03:15:00,4.11850000,4.12880000,4.11280000,4.11340000,457606.10000000
2024-12-20 03:20:00,4.11340000,4.11660000,4.10010000,4.11220000,532657.20000000
2024-12-20 03:25:00,4.11220000,4.11260000,4.10000000,4.10600000,563703.90000000
2024-12-20 03:30:00,4.10610000,4.11080000,4.08390000,4.09790000,588963.00000000
2024-12-20 03:35:00,4.09780000,4.10240000,4.08460000,4.09630000,187277.00000000
2024-12-20 03:40:00,4.09620000,4.10060000,4.08250000,4.08750000,182255.80000000
2024-12-20 03:45:00,4.08750000,4.09100000,4.07400000,4.08490000,342321.60000000
2024-12-20 03:50:00,4.08500000,4.09650000,4.07220000,4.07600000,219006.80000000
2024-12-20 03:55:00,4.07600000,4.07600000,4.05880000,4.06210000,302096.70000000
2024-12-20 04:00:00,4.06220000,4.09260000,4.06110000,4.09020000,326568.50000000
2024-12-20 04:05:00,4.09030000,4.09720000,4.06550000,4.06650000,272433.30000000
2024-12-20 04:10:00,4.06640000,4.09130000,4.06620000,4.07590000,116697.20000000
2024-12-20 04:15:00,4.07600000,4.08540000,4.06430000,4.07870000,179497.40000000
2024-12-20 04:20:00,4.07880000,4.09570000,4.07340000,4.09430000,146110.90000000
2024-12-20 04:25:00,4.09470000,4.11130000,4.09210000,4.11120000,273697.70000000
2024-12-20 04:30:00,4.11120000,4.11130000,4.08170000,4.08440000,182639.60000000
2024-12-20 04:35:00,4.08440000,4.09360000,4.07780000,4.08510000,140940.70000000
2024-12-20 04:40:00,4.08490000,4.08750000,4.07410000,4.08710000,226162.50000000
2024-12-20 04:45:00,4.08710000,4.09820000,4.08100000,4.08480000,164290.70000000
2024-12-20 04:50:00,4.08480000,4.08740000,4.05030000,4.05120000,221434.90000000
2024-12-20 04:55:00,4.05130000,4.05190000,4.03580000,4.04090000,281772.40000000
2024-12-20 05:00:00,4.04050000,4.06430000,4.03990000,4.06320000,187717.00000000
2024-12-20 05:05:00,4.06330000,4.06590000,4.04280000,4.05170000,210135.10000000
